timestamp,day_index,weekday,hour,stage_name,mini_pattern,users,spawn_rate,scale_factor,error_rate,latency_ms,is_weekend,is_anomaly,anomaly_type,severity
1779734337.1108644,0,0,0.004,night,night_watch,5,1.46,0.8508,0.002,45.2,0,0,none,none
1779734352.1823497,0,0,0.008,night,night_watch,6,1.0,0.8074,0.002,50.3,0,0,none,none
1779734367.290381,0,0,0.013,night,night_watch,10,1.0,0.7827,0.002,47.4,0,0,none,none
1779734382.4495018,0,0,0.017,night,night_watch,4,1.59,0.7802,0.002,51.4,0,0,none,none
1779734397.6451406,0,0,0.021,night,night_watch,10,1.34,0.8015,0.002,45.2,0,0,none,none
1779734412.920747,0,0,0.025,night,night_watch,4,1.32,0.8542,0.002,48.2,0,0,none,none
1779734428.169909,0,0,0.029,night,night_watch,9,1.0,0.8786,0.002,45.8,0,0,none,none
1779734443.4644744,0,0,0.034,night,night_watch,6,1.0,0.8716,0.002,51.7,0,0,none,none
1779734458.752823,0,0,0.038,night,night_watch,6,1.46,0.7818,0.002,50.1,0,0,none,none
1779734474.1939166,0,0,0.042,night,night_watch,3,1.86,0.7863,0.002,51.6,0,0,none,none
1779734489.5566366,0,0,0.047,night,night_watch,6,1.78,0.8744,0.18348,50.4,0,0,none,none
1779734504.9649901,0,0,0.051,night,night_watch,6,1.81,0.8092,0.002,50.6,0,0,none,none
1779734520.4934657,0,0,0.055,night,night_watch,7,1.52,0.9287,0.002,49.8,0,0,none,none
1779734535.9746475,0,0,0.059,night,night_watch,10,1.1,0.8179,0.002,45.4,0,0,none,none
1779734551.413807,0,0,0.064,night,night_watch,6,1.12,0.8016,0.002,50.8,0,0,none,none
1779734566.9546926,0,0,0.068,night,night_watch,5,1.0,0.8333,0.002,45.3,0,0,none,none
1779734582.4304519,0,0,0.072,night,night_watch,9,1.86,0.8459,0.002,45.4,0,0,none,none
1779734598.042816,0,0,0.077,night,night_watch,4,1.51,0.859,0.002,49.1,0,0,none,none
1779734613.5331016,0,0,0.081,night,night_watch,11,1.49,0.8589,0.002,50.3,0,0,none,none
1779734629.1223834,0,0,0.085,night,night_watch,10,1.45,0.8664,0.002,48.0,0,0,none,none
1779734644.6387527,0,0,0.09,night,night_watch,4,1.6,0.8145,0.002,51.7,0,0,none,none
1779734660.3016677,0,0,0.094,night,night_watch,9,1.56,0.8689,0.002,51.2,0,0,none,none
1779734675.8639283,0,0,0.098,night,night_watch,9,1.0,0.8295,0.002,46.5,0,0,none,none
1779734691.5124824,0,0,0.103,night,night_watch,10,1.0,0.876,0.002,47.1,0,0,none,none
1779734707.1300907,0,0,0.107,night,night_watch,5,1.84,0.9239,0.002,47.0,0,0,none,none
1779734722.9224315,0,0,0.111,night,night_watch,9,1.63,0.801,0.002,47.8,0,0,none,none
1779734738.4707367,0,0,0.116,night,night_watch,6,1.64,0.7879,0.002,45.7,0,0,none,none
1779734754.1477735,0,0,0.12,night,night_watch,6,1.81,0.7986,0.002,50.3,0,0,none,none
1779734769.7476957,0,0,0.124,night,night_watch,10,1.3,0.8121,0.16869,49.1,0,0,none,none
1779734785.4887528,0,0,0.129,night,night_watch,9,1.0,0.8528,0.002,48.6,0,0,none,none
1779734801.09679,0,0,0.133,night,night_watch,11,1.59,0.8332,0.002,46.4,0,0,none,none
1779734816.7958176,0,0,0.137,night,night_watch,7,1.0,0.9203,0.002,48.5,0,0,none,none
1779734832.430538,0,0,0.142,night,night_watch,9,1.0,0.9047,0.002,49.6,0,0,none,none
1779734848.3472574,0,0,0.146,night,night_watch,11,1.05,0.8902,0.002,49.6,0,0,none,none
1779734864.0989878,0,0,0.151,night,night_watch,9,1.66,0.9256,0.002,48.8,0,0,none,none
1779734879.8360536,0,0,0.155,night,night_watch,5,1.99,0.8266,0.002,47.2,0,0,none,none
1779734895.5488927,0,0,0.159,night,night_watch,7,2.09,0.8579,0.002,46.7,0,0,none,none
1779734911.254427,0,0,0.164,night,night_watch,8,1.49,0.9325,0.002,51.2,0,0,none,none
1779734926.9478297,0,0,0.168,night,night_watch,6,1.0,0.8528,0.002,47.0,0,0,none,none
1779734942.6648693,0,0,0.172,night,night_watch,4,1.07,0.7691,0.002,50.3,0,0,none,none
1779734958.3576286,0,0,0.177,night,night_watch,5,1.0,0.8486,0.002,49.8,0,0,none,none
1779734974.0686376,0,0,0.181,night,night_watch,6,1.0,0.8439,0.002,48.4,0,0,none,none
1779734989.834345,0,0,0.185,night,night_watch,9,1.0,0.904,0.002,47.0,0,0,none,none
1779735005.6368644,0,0,0.19,night,night_watch,5,1.83,0.8864,0.002,49.5,0,0,none,none
1779735021.304142,0,0,0.194,night,night_watch,4,1.0,0.7671,0.002,45.0,0,0,none,none
1779735037.0785692,0,0,0.199,night,night_watch,9,1.0,0.8415,0.002,47.2,0,0,none,none
1779735052.7493153,0,0,0.203,night,night_watch,3,1.0,0.7956,0.002,47.3,0,0,none,none
1779735068.56612,0,0,0.207,night,night_watch,9,1.41,0.9252,0.16383,51.5,0,0,none,none
1779735084.3328958,0,0,0.212,night,night_watch,6,1.96,0.9181,0.002,44.3,0,0,none,none
1779735100.114734,0,0,0.216,night,night_watch,8,1.82,0.9088,0.002,49.2,0,0,none,none
1779735115.8287692,0,0,0.22,night,night_watch,6,1.76,0.856,0.002,47.7,0,0,none,none
1779735131.6637785,0,0,0.225,night,night_watch,5,1.41,0.8882,0.002,46.6,0,0,none,none
1779735147.4421742,0,0,0.229,night,night_watch,9,1.01,0.8004,0.002,48.4,0,0,none,none
1779735163.1762376,0,0,0.234,night,night_watch,5,1.0,0.891,0.002,45.8,0,0,none,none
1779735178.8592618,0,0,0.238,night,night_watch,7,1.23,0.7962,0.002,45.6,0,0,none,none
1779735194.6885478,0,0,0.242,night,night_watch,4,1.92,0.7975,0.002,45.5,0,0,none,none
1779735210.4379804,0,0,0.247,night,night_watch,7,5.33,0.8639,0.00212,184.2,0,1,slow_deploy,low
1779735226.3581734,0,0,0.251,night,night_watch,5,5.9,0.8264,0.00202,202.0,0,1,slow_deploy,low
1779735242.0855715,0,0,0.256,night,lull,9,1.51,0.8403,0.0037,54.4,0,0,none,none
1779735257.9211016,0,0,0.26,night,lull,5,2.06,0.8065,0.00334,53.9,0,0,none,none
1779735273.613999,0,0,0.264,night,lull,4,1.0,0.8689,0.00326,62.2,0,0,none,none
1779735289.4511747,0,0,0.269,night,lull,4,1.0,0.7674,0.00326,47.0,0,0,none,none
1779735305.2239916,0,0,0.273,night,lull,5,1.11,0.8961,0.00334,54.9,0,0,none,none
1779735321.0861545,0,0,0.278,night,lull,5,1.5,0.7833,0.00334,60.8,0,0,none,none
1779735336.8868232,0,0,0.282,night,lull,9,1.15,0.8144,0.0037,59.7,0,0,none,none
1779735352.849838,0,0,0.286,night,lull,7,1.0,0.9198,0.00351,51.4,0,0,none,none
1779735368.6230896,0,0,0.291,night,lull,10,1.0,0.773,0.00379,55.5,0,0,none,none
1779735384.5112963,0,0,0.295,night,lull,3,1.52,0.8137,0.00318,54.0,0,0,none,none
1779735400.2864304,0,0,0.3,night,lull,6,2.0,0.8797,0.00343,56.9,0,0,none,none
1779735416.0038738,0,0,0.304,night,lull,4,1.19,0.9204,0.00326,55.8,0,0,none,none
1779735431.7244618,0,0,0.308,night,lull,7,1.9,0.9018,0.00351,55.1,0,0,none,none
1779735447.4898398,0,0,0.313,night,lull,4,1.75,0.8338,0.00326,53.0,0,0,none,none
1779735463.2537954,0,0,0.317,night,lull,5,1.0,0.7956,0.00334,56.8,0,0,none,none
1779735479.1288886,0,0,0.321,night,lull,9,1.82,0.7937,0.0037,57.5,0,0,none,none
1779735494.9227507,0,0,0.326,night,night_watch,9,1.37,0.9127,0.002,43.4,0,0,none,none
1779735510.7300754,0,0,0.33,night,night_watch,11,1.87,0.8713,0.002,48.3,0,0,none,none
1779735526.4346957,0,0,0.335,night,night_watch,5,1.0,0.7723,0.002,53.3,0,0,none,none
1779735542.2904243,0,0,0.339,night,night_watch,3,1.92,0.8003,0.002,50.8,0,0,none,none
1779735558.033825,0,0,0.343,night,night_watch,4,1.79,0.9222,0.002,44.3,0,0,none,none
1779735573.8582675,0,0,0.348,night,night_watch,9,1.0,0.8577,0.002,45.5,0,0,none,none
1779735589.5689132,0,0,0.352,night,night_watch,8,1.5,0.7733,0.002,47.6,0,0,none,none
1779735605.426315,0,0,0.356,night,night_watch,5,1.0,0.7719,0.002,48.0,0,0,none,none
1779735621.2600765,0,0,0.361,night,night_watch,7,1.0,0.8029,0.002,49.1,0,0,none,none
1779735637.0829923,0,0,0.365,night,night_watch,4,1.32,0.897,0.002,48.5,0,0,none,none
1779735652.7764099,0,0,0.37,night,night_watch,11,1.0,0.778,0.002,47.9,0,0,none,none
1779735668.6588795,0,0,0.374,night,night_watch,8,1.16,0.7798,0.002,48.9,0,0,none,none
1779735684.371364,0,0,0.378,night,night_watch,9,1.0,0.8217,0.002,51.9,0,0,none,none
1779735700.1468124,0,0,0.383,night,night_watch,6,1.75,0.856,0.002,49.1,0,0,none,none
1779735715.8634126,0,0,0.387,night,night_watch,7,1.54,0.7903,0.002,48.4,0,0,none,none
1779735731.6452758,0,0,0.392,night,night_watch,10,1.33,0.7852,0.002,46.4,0,0,none,none
1779735747.3327625,0,0,0.396,night,night_watch,7,1.77,0.807,0.002,48.8,0,0,none,none
1779735763.2065852,0,0,0.4,night,night_watch,6,1.79,0.7751,0.002,53.0,0,0,none,none
1779735778.9179718,0,0,0.405,night,night_watch,4,1.0,0.8853,0.002,48.3,0,0,none,none
1779735794.821123,0,0,0.409,night,night_watch,4,4.81,0.8479,0.002,164.6,0,1,slow_deploy,low
1779735810.579303,0,0,0.413,night,night_watch,5,4.16,0.9016,0.24151,156.1,0,1,slow_deploy,low
1779735826.4834163,0,0,0.418,night,night_watch,9,1.0,0.8018,0.002,46.7,0,0,none,none
1779735842.2841556,0,0,0.422,night,night_watch,8,2.08,0.895,0.002,50.2,0,0,none,none
1779735858.0715253,0,0,0.427,night,night_watch,8,1.73,0.8583,0.002,51.2,0,0,none,none
1779735873.8204496,0,0,0.431,night,night_watch,4,1.0,0.8519,0.002,50.9,0,0,none,none
1779735889.6368415,0,0,0.435,night,night_watch,8,1.52,0.8331,0.002,46.3,0,0,none,none
1779735905.3614805,0,0,0.44,night,night_watch,10,1.8,0.8255,0.002,48.2,0,0,none,none
1779735921.154916,0,0,0.444,night,night_watch,5,1.89,0.8295,0.002,51.5,0,0,none,none
1779735936.8608053,0,0,0.449,night,night_watch,6,1.06,0.8087,0.002,50.6,0,0,none,none
1779735952.734389,0,0,0.453,night,night_watch,9,1.68,0.866,0.15803,54.8,0,0,none,none
1779735968.4658294,0,0,0.457,night,night_watch,9,1.5,0.8096,0.002,51.8,0,0,none,none
1779735984.2969193,0,0,0.462,night,night_watch,3,1.49,0.9109,0.002,45.0,0,0,none,none
1779736000.0947056,0,0,0.466,night,batch_storm,8,1.0,0.9198,0.01171,109.7,0,0,none,none
1779736015.9091778,0,0,0.471,night,batch_storm,5,1.0,0.9257,0.01086,112.6,0,0,none,none
1779736031.705658,0,0,0.475,night,batch_storm,10,1.06,0.7739,0.01232,114.6,0,0,none,none
1779736047.5222373,0,0,0.479,night,batch_storm,4,2.06,0.8992,0.01059,108.6,0,0,none,none
1779736063.2280192,0,0,0.484,night,batch_storm,6,1.36,0.8038,0.01113,110.2,0,0,none,none
1779736079.0763686,0,0,0.488,night,batch_storm,8,1.41,0.8529,0.01171,106.7,0,0,none,none
1779736094.8918097,0,0,0.492,night,batch_storm,7,2.19,0.8915,0.01142,113.6,0,0,none,none
1779736110.723356,0,0,0.497,night,batch_storm,7,1.5,0.8555,0.11652,112.4,0,0,none,none
1779736126.4346018,0,0,0.501,night,batch_storm,3,1.17,0.8505,0.01034,109.6,0,0,none,none
1779736142.3191671,0,0,0.506,night,batch_storm,9,1.95,0.7963,0.01201,102.8,0,0,none,none
1779736158.1543968,0,0,0.51,night,batch_storm,8,2.01,0.8285,0.01171,113.3,0,0,none,none
1779736173.90666,0,0,0.514,night,batch_storm,8,1.73,0.8049,0.01171,111.9,0,0,none,none
1779736189.6462994,0,0,0.519,night,batch_storm,5,1.31,0.7985,0.1551,111.6,0,0,none,none
1779736205.503748,0,0,0.523,night,batch_storm,9,1.0,0.8035,0.01201,113.8,0,0,none,none
1779736221.2502565,0,0,0.528,night,batch_storm,5,1.83,0.8289,0.01086,119.2,0,0,none,none
1779736237.107239,0,0,0.532,night,batch_storm,4,1.35,0.9171,0.17272,111.8,0,0,none,none
1779736252.8616326,0,0,0.536,night,night_watch,9,1.45,0.9101,0.002,46.9,0,0,none,none
1779736268.7581012,0,0,0.541,night,night_watch,6,1.0,0.7981,0.002,48.2,0,0,none,none
1779736284.4446702,0,0,0.545,night,night_watch,9,1.11,0.7738,0.002,49.8,0,0,none,none
1779736300.2831473,0,0,0.55,night,night_watch,5,1.49,0.7883,0.002,46.7,0,0,none,none
1779736315.947469,0,0,0.554,night,night_watch,9,1.68,0.8585,0.002,52.2,0,0,none,none
1779736331.7587054,0,0,0.558,night,night_watch,4,1.0,0.8666,0.19715,47.6,0,0,none,none
1779736347.421564,0,0,0.563,night,night_watch,8,1.0,0.8422,0.002,47.7,0,0,none,none
1779736363.2153068,0,0,0.567,night,night_watch,6,1.97,0.8392,0.002,45.6,0,0,none,none
1779736378.892579,0,0,0.571,night,night_watch,4,1.18,0.8594,0.16596,45.8,0,0,none,none
1779736394.7568138,0,0,0.576,night,night_watch,7,1.58,0.7977,0.002,46.6,0,0,none,none
1779736410.5553114,0,0,0.58,night,night_watch,8,1.18,0.7676,0.05203,47.2,0,0,none,none
1779736426.4504535,0,0,0.585,night,night_watch,8,1.0,0.9247,0.002,50.5,0,0,none,none
1779736442.160637,0,0,0.589,night,night_watch,9,2.02,0.8283,0.002,46.9,0,0,none,none
1779736458.1987543,0,0,0.593,night,night_watch,6,1.91,0.829,0.002,46.8,0,0,none,none
1779736473.997504,0,0,0.598,night,night_watch,6,1.84,0.8727,0.002,53.8,0,0,none,none
1779736489.7839224,0,0,0.602,night,night_watch,9,2.15,0.7904,0.002,50.2,0,0,none,none
1779736505.6005492,0,0,0.607,night,night_watch,10,1.86,0.7701,0.002,48.8,0,0,none,none
1779736521.5189936,0,0,0.611,night,night_watch,7,1.9,0.8161,0.002,51.3,0,0,none,none
1779736537.3044882,0,0,0.615,night,night_watch,7,1.97,0.782,0.002,48.2,0,0,none,none
1779736553.176661,0,0,0.62,night,night_watch,7,1.05,0.836,0.11071,43.7,0,0,none,none
1779736568.9887495,0,0,0.624,night,lull,4,1.13,0.8613,0.00326,52.1,0,0,none,none
1779736584.7827282,0,0,0.629,night,lull,9,1.26,0.9089,0.0037,53.1,0,0,none,none
1779736600.5678687,0,0,0.633,night,lull,7,1.22,0.9184,0.00351,54.0,0,0,none,none
1779736616.3463838,0,0,0.637,night,lull,7,1.03,0.8506,0.00351,53.2,0,0,none,none
1779736632.1082723,0,0,0.642,night,lull,7,1.65,0.8382,0.00351,55.1,0,0,none,none
1779736647.8946698,0,0,0.646,night,lull,7,1.3,0.9019,0.00351,53.5,0,0,none,none
1779736663.5885239,0,0,0.65,night,lull,5,1.38,0.793,0.00334,54.1,0,0,none,none
1779736679.4076571,0,0,0.655,night,lull,6,2.09,0.8808,0.00343,57.1,0,0,none,none
1779736695.1885846,0,0,0.659,night,night_watch,5,1.28,0.8044,0.002,45.9,0,0,none,none
1779736711.0288374,0,0,0.664,night,night_watch,8,1.49,0.8815,0.002,54.1,0,0,none,none
1779736726.711811,0,0,0.668,night,night_watch,6,1.2,0.9277,0.002,48.4,0,0,none,none
1779736742.5203469,0,0,0.672,night,night_watch,4,1.29,0.8974,0.002,49.0,0,0,none,none
1779736758.263392,0,0,0.677,night,night_watch,10,1.53,0.8517,0.002,46.6,0,0,none,none
1779736774.113276,0,0,0.681,night,night_watch,5,2.07,0.8052,0.002,50.5,0,0,none,none
1779736789.819359,0,0,0.685,night,night_watch,5,1.38,0.7943,0.002,45.4,0,0,none,none
1779736805.719859,0,0,0.69,night,night_watch,5,1.11,0.871,0.002,46.2,0,0,none,none
1779736821.4958804,0,0,0.694,night,night_watch,7,2.32,0.8574,0.002,49.6,0,0,none,none
1779736837.4141562,0,0,0.699,night,night_watch,5,1.21,0.9086,0.002,52.2,0,0,none,none
1779736853.1585217,0,0,0.703,night,night_watch,3,1.6,0.9297,0.002,46.2,0,0,none,none
1779736868.9388392,0,0,0.707,night,night_watch,7,2.02,0.8438,0.002,47.6,0,0,none,none
1779736884.9291198,0,0,0.712,night,night_watch,8,1.93,0.8234,0.15475,48.0,0,0,none,none
1779736900.7772539,0,0,0.716,night,night_watch,7,1.29,0.8637,0.002,47.7,0,0,none,none
1779736916.5748649,0,0,0.721,night,night_watch,3,1.0,0.8751,0.002,49.4,0,0,none,none
1779736932.466926,0,0,0.725,night,night_watch,4,1.63,0.8293,0.002,52.6,0,0,none,none
1779736948.1698637,0,0,0.729,night,night_watch,7,1.98,0.784,0.002,48.3,0,0,none,none
1779736964.096865,0,0,0.734,night,night_watch,3,1.58,0.771,0.002,49.4,0,0,none,none
1779736979.9010801,0,0,0.738,night,night_watch,7,2.01,0.9282,0.002,47.9,0,0,none,none
1779736995.7709517,0,0,0.743,night,night_watch,10,1.0,0.919,0.002,51.0,0,0,none,none
1779737011.512743,0,0,0.747,night,night_watch,12,1.49,0.86,0.00289,51.6,0,1,memory_leak,medium
1779737027.3661513,0,0,0.751,night,night_watch,7,1.0,0.7745,0.00254,48.2,0,1,memory_leak,medium
1779737043.1055048,0,0,0.756,night,lull,5,1.76,0.8824,0.00483,57.3,0,1,memory_leak,medium
1779737058.9379761,0,0,0.76,night,lull,8,1.86,0.7666,0.00521,57.7,0,1,memory_leak,medium
1779737074.6304207,0,0,0.765,night,lull,5,1.46,0.782,0.00483,49.4,0,1,memory_leak,medium
1779737090.4908354,0,0,0.769,night,lull,8,1.32,0.9322,0.0036,54.6,0,0,none,none
1779737106.2187834,0,0,0.773,night,lull,8,1.08,0.7887,0.0036,56.9,0,0,none,none
1779737122.0077233,0,0,0.778,night,lull,6,1.69,0.8567,0.00343,55.7,0,0,none,none
1779737137.742521,0,0,0.782,night,lull,9,1.88,0.852,0.13916,52.6,0,0,none,none
1779737153.5405197,0,0,0.787,night,night_watch,6,1.79,0.8976,0.002,45.1,0,0,none,none
1779737169.25174,0,0,0.791,night,night_watch,7,1.0,0.7739,0.002,49.8,0,0,none,none
1779737185.128876,0,0,0.795,night,night_watch,6,1.47,0.7699,0.002,46.3,0,0,none,none
1779737200.8315897,0,0,0.8,night,night_watch,8,1.3,0.844,0.002,49.7,0,0,none,none
1779737216.6907341,0,0,0.804,night,night_watch,4,1.74,0.7957,0.002,49.1,0,0,none,none
1779737232.4423246,0,0,0.808,night,night_watch,8,1.0,0.9184,0.002,48.8,0,0,none,none
1779737248.317992,0,0,0.813,night,night_watch,4,1.13,0.8185,0.002,49.8,0,0,none,none
1779737264.1205924,0,0,0.817,night,night_watch,5,1.76,0.8113,0.002,46.7,0,0,none,none
1779737279.9475365,0,0,0.822,night,night_watch,4,1.25,0.8181,0.002,48.1,0,0,none,none
1779737295.6878934,0,0,0.826,night,night_watch,8,1.73,0.7894,0.002,47.8,0,0,none,none
