timestamp,cpu_usage_percent,day_index,weekday,hour,stage_name,mini_pattern,users,spawn_rate,scale_factor,error_rate,latency_ms,is_weekend,is_anomaly,anomaly_type,severity
1779734520,20.272881355931077,0,0,0.068,night,night_watch,5,1.0,0.8333,0.002,45.3,0,0,none,none
1779734535,20.405084745761386,0,0,0.072,night,night_watch,9,1.86,0.8459,0.002,45.4,0,0,none,none
1779734550,20.561016949152155,0,0,0.077,night,night_watch,4,1.51,0.859,0.002,49.1,0,0,none,none
1779734565,20.96864406779725,0,0,0.081,night,night_watch,11,1.49,0.8589,0.002,50.3,0,0,none,none
1779734580,21.24406779661081,0,0,0.085,night,night_watch,10,1.45,0.8664,0.002,48.0,0,0,none,none
1779734595,21.57288135592954,0,0,0.09,night,night_watch,4,1.6,0.8145,0.002,51.7,0,0,none,none
1779734610,20.4991525423716,0,0,0.094,night,night_watch,9,1.56,0.8689,0.002,51.2,0,0,none,none
1779734625,20.56186440677883,0,0,0.098,night,night_watch,9,1.0,0.8295,0.002,46.5,0,0,none,none
1779734640,20.65762711864486,0,0,0.103,night,night_watch,10,1.0,0.876,0.002,47.1,0,0,none,none
1779734655,20.668644067797803,0,0,0.107,night,night_watch,5,1.84,0.9239,0.002,47.0,0,0,none,none
1779734670,20.80084745762687,0,0,0.111,night,night_watch,9,1.63,0.801,0.002,47.8,0,0,none,none
1779734685,20.933898305085098,0,0,0.116,night,night_watch,6,1.64,0.7879,0.002,45.7,0,0,none,none
1779734700,21.02711864406988,0,0,0.12,night,night_watch,6,1.81,0.7986,0.002,50.3,0,0,none,none
1779734715,21.1610169491523,0,0,0.124,night,night_watch,10,1.3,0.8121,0.16869,49.1,0,0,none,none
1779734730,21.305932203391365,0,0,0.129,night,night_watch,9,1.0,0.8528,0.002,48.6,0,0,none,none
1779734745,21.348305084744837,0,0,0.133,night,night_watch,11,1.59,0.8332,0.002,46.4,0,0,none,none
1779734760,21.37796610169447,0,0,0.137,night,night_watch,7,1.0,0.9203,0.002,48.5,0,0,none,none
1779734775,21.44406779660839,0,0,0.142,night,night_watch,9,1.0,0.9047,0.002,49.6,0,0,none,none
1779734790,21.55169491525404,0,0,0.146,night,night_watch,11,1.05,0.8902,0.002,49.6,0,0,none,none
1779734805,21.500847457627657,0,0,0.151,night,night_watch,9,1.66,0.9256,0.002,48.8,0,0,none,none
1779734820,21.50508474576227,0,0,0.155,night,night_watch,5,1.99,0.8266,0.002,47.2,0,0,none,none
1779734835,21.62966101695004,0,0,0.159,night,night_watch,7,2.09,0.8579,0.002,46.7,0,0,none,none
1779734850,21.453389830507984,0,0,0.164,night,night_watch,8,1.49,0.9325,0.002,51.2,0,0,none,none
1779734865,21.592372881356624,0,0,0.168,night,night_watch,6,1.0,0.8528,0.002,47.0,0,0,none,none
1779734880,21.8271186440676,0,0,0.172,night,night_watch,4,1.07,0.7691,0.002,50.3,0,0,none,none
1779734895,21.58389830508248,0,0,0.177,night,night_watch,5,1.0,0.8486,0.002,49.8,0,0,none,none
1779734910,21.64067796610175,0,0,0.181,night,night_watch,6,1.0,0.8439,0.002,48.4,0,0,none,none
1779734925,21.52627118644024,0,0,0.185,night,night_watch,9,1.0,0.904,0.002,47.0,0,0,none,none
1779734940,21.426271186442055,0,0,0.19,night,night_watch,5,1.83,0.8864,0.002,49.5,0,0,none,none
1779734955,21.468644067797992,0,0,0.194,night,night_watch,4,1.0,0.7671,0.002,45.0,0,0,none,none
1779734970,21.394915254235368,0,0,0.199,night,night_watch,9,1.0,0.8415,0.002,47.2,0,0,none,none
1779734985,21.254237288134604,0,0,0.203,night,night_watch,3,1.0,0.7956,0.002,47.3,0,0,none,none
1779735000,21.160169491524396,0,0,0.207,night,night_watch,9,1.41,0.9252,0.16383,51.5,0,0,none,none
1779735015,21.211864406779917,0,0,0.212,night,night_watch,6,1.96,0.9181,0.002,44.3,0,0,none,none
1779735030,21.23813559321917,0,0,0.216,night,night_watch,8,1.82,0.9088,0.002,49.2,0,0,none,none
1779735045,21.298305084747597,0,0,0.22,night,night_watch,6,1.76,0.856,0.002,47.7,0,0,none,none
1779735060,21.308474576270157,0,0,0.225,night,night_watch,5,1.41,0.8882,0.002,46.6,0,0,none,none
1779735075,21.380508474576963,0,0,0.229,night,night_watch,9,1.01,0.8004,0.002,48.4,0,0,none,none
1779735090,21.59237288135416,0,0,0.234,night,night_watch,5,1.0,0.891,0.002,45.8,0,0,none,none
1779735105,21.605084745764145,0,0,0.238,night,night_watch,7,1.23,0.7962,0.002,45.6,0,0,none,none
1779735120,21.822033898302617,0,0,0.242,night,night_watch,4,1.92,0.7975,0.002,45.5,0,0,none,none
1779735135,22.061864406779808,0,0,0.247,night,night_watch,7,5.33,0.8639,0.00212,184.2,0,1,slow_deploy,low
1779735150,22.077966101694035,0,0,0.251,night,night_watch,5,5.9,0.8264,0.00202,202.0,0,1,slow_deploy,low
1779735165,22.184745762711767,0,0,0.256,night,lull,9,1.51,0.8403,0.0037,54.4,0,0,none,none
1779735180,22.127966101696195,0,0,0.26,night,lull,5,2.06,0.8065,0.00334,53.9,0,0,none,none
1779735195,21.991525423730053,0,0,0.264,night,lull,4,1.0,0.8689,0.00326,62.2,0,0,none,none
1779735210,22.06949152542359,0,0,0.269,night,lull,4,1.0,0.7674,0.00326,47.0,0,0,none,none
1779735225,22.17796610169467,0,0,0.273,night,lull,5,1.11,0.8961,0.00334,54.9,0,0,none,none
1779735240,22.19237288135677,0,0,0.278,night,lull,5,1.5,0.7833,0.00334,60.8,0,0,none,none
1779735255,22.353389830508817,0,0,0.282,night,lull,9,1.15,0.8144,0.0037,59.7,0,0,none,none
1779735270,22.28474576271118,0,0,0.286,night,lull,7,1.0,0.9198,0.00351,51.4,0,0,none,none
1779735285,22.27796610169408,0,0,0.291,night,lull,10,1.0,0.773,0.00379,55.5,0,0,none,none
1779735300,22.22711864406647,0,0,0.295,night,lull,3,1.52,0.8137,0.00318,54.0,0,0,none,none
1779735315,22.211016949152253,0,0,0.3,night,lull,6,2.0,0.8797,0.00343,56.9,0,0,none,none
1779735330,22.213559322034737,0,0,0.304,night,lull,4,1.19,0.9204,0.00326,55.8,0,0,none,none
1779735345,22.159322033897965,0,0,0.308,night,lull,7,1.9,0.9018,0.00351,55.1,0,0,none,none
1779735360,22.18983050847552,0,0,0.313,night,lull,4,1.75,0.8338,0.00326,53.0,0,0,none,none
1779735375,21.93728813559327,0,0,0.317,night,lull,5,1.0,0.7956,0.00334,56.8,0,0,none,none
1779735390,21.80423728813505,0,0,0.321,night,lull,9,1.82,0.7937,0.0037,57.5,0,0,none,none
1779735405,21.68389830508559,0,0,0.326,night,night_watch,9,1.37,0.9127,0.002,43.4,0,0,none,none
1779735420,21.51271186440851,0,0,0.33,night,night_watch,11,1.87,0.8713,0.002,48.3,0,0,none,none
1779735435,21.447457627118798,0,0,0.335,night,night_watch,5,1.0,0.7723,0.002,53.3,0,0,none,none
1779735450,21.401694915252456,0,0,0.339,night,night_watch,3,1.92,0.8003,0.002,50.8,0,0,none,none
1779735465,21.419491525422497,0,0,0.343,night,night_watch,4,1.79,0.9222,0.002,44.3,0,0,none,none
1779735480,21.322881355932253,0,0,0.348,night,night_watch,9,1.0,0.8577,0.002,45.5,0,0,none,none
1779735495,21.34745762711815,0,0,0.352,night,night_watch,8,1.5,0.7733,0.002,47.6,0,0,none,none
1779735510,21.310169491525965,0,0,0.356,night,night_watch,5,1.0,0.7719,0.002,48.0,0,0,none,none
1779735525,21.337288135593123,0,0,0.361,night,night_watch,7,1.0,0.8029,0.002,49.1,0,0,none,none
1779735540,21.243220338981672,0,0,0.365,night,night_watch,4,1.32,0.897,0.002,48.5,0,0,none,none
1779735555,21.12881355932139,0,0,0.37,night,night_watch,11,1.0,0.778,0.002,47.9,0,0,none,none
1779735570,21.088983050849187,0,0,0.374,night,night_watch,8,1.16,0.7798,0.002,48.9,0,0,none,none
1779735585,21.10932203389677,0,0,0.378,night,night_watch,9,1.0,0.8217,0.002,51.9,0,0,none,none
1779735600,20.97118644067728,0,0,0.383,night,night_watch,6,1.75,0.856,0.002,49.1,0,0,none,none
1779735615,21.62033898305169,0,0,0.387,night,night_watch,7,1.54,0.7903,0.002,48.4,0,0,none,none
1779735630,21.583898305083714,0,0,0.392,night,night_watch,10,1.33,0.7852,0.002,46.4,0,0,none,none
1779735645,21.49999999999975,0,0,0.396,night,night_watch,7,1.77,0.807,0.002,48.8,0,0,none,none
1779735660,21.52966101695063,0,0,0.4,night,night_watch,6,1.79,0.7751,0.002,53.0,0,0,none,none
1779735675,21.5610169491524,0,0,0.405,night,night_watch,4,1.0,0.8853,0.002,48.3,0,0,none,none
